track,artist,album,date,count
Spare Time,Shortly,Spare Time,9/20/2018,6
Revisited,The Antlers,Familiars,9/20/2018,5
Shark Smile,Big Thief,Capacity,9/19/2018,35
Don't Stay Here / Gun Nut,The Album Leaf,The Endless (Original Motion Picture Soundtrack),9/18/2018,24
Deep Snow,Grails,Deep Politics,9/17/2018,8
Why Didn't You Stop Me?,Mitski,Be the Cowboy,9/7/2018,5
Make You Better,The Decemberists,"What a Terrible World, What a Beautiful World",9/4/2018,6
Geyser,Mitski,Be the Cowboy,9/3/2018,5
Peter the Wild Boy,ratboy,GN,8/17/2018,6
Ogives / Redistributed,Eluvium,Curious Things,7/16/2018,6
Privilege,Stars,There Is No Love in Fluorescent Light,6/4/2018,6
How Simple,Hop Along,"Bark Your Head Off, Dog",4/23/2018,20
Between the Breaths,Mitski,Between the Breaths,4/23/2018,6
The Lines On The Road That Lead You Back Home,Explosions in the Sky,Prince Avalanche: An Original Motion Picture Soundtrack,3/28/2018,20
Lookers,The Menzingers,After the Party,3/15/2018,13
"Get Me Away from Here, I'm Dying",Belle and Sebastian,If You're Feeling Sinister,2/26/2018,18
Ebb / Flow,Helios,Remembrance,2/8/2018,11
Divenire,Ludovico Einaudi,Divenire,11/21/2017,13
Peach Boy,Jay Som,Turn Into,11/5/2017,5
Your Type,Alvvays,Antisocialites,10/31/2017,5
Isostacy,Helios,Remembrance,10/23/2017,17
Stick,Snail Mail,Habit - EP,10/18/2017,11
In Undertow,Alvvays,Antisocialites,10/14/2017,5
Mary,Big Thief,Capacity,9/22/2017,14
Square,Mitski,"Retired from Sad, New Career in Business",8/17/2017,21
The Maze,Manchester Orchestra,A Black Mile to the Surface,8/4/2017,13
Rich Friends,Portugal. The Man,Woodstock,7/11/2017,5
Road Head,Japanese Breakfast,Road Head,7/10/2017,20
Strawberry Blond,Mitski,"Retired from Sad, New Career in Business",7/10/2017,15
Dan the Dancer,Mitski,Puberty 2,7/7/2017,5
The Alien,Manchester Orchestra,The Alien,7/4/2017,18
High Tide,Staying for the Weekend,Growing Pains,6/29/2017,5
Boyish,Japanese Breakfast,Boyish,6/29/2017,7
Drunk Drivers/Killer Whales,Car Seat Headrest,Teens Of Denial,6/21/2017,6
Neptune,James McAlister,Planetarium,6/12/2017,10
Mercury,James McAlister,Planetarium,6/12/2017,6
The Predatory Wasp of the Palisades Is Out to Get Us,Sufjan Stevens,Illinois,6/7/2017,11
Drive Me Home,adult mom,Soft Spots,6/5/2017,6
A Man/Me/Then Jim,Rilo Kiley,More Adventurous (U.S. Release),5/5/2017,20
LOL,PWR BTTM,LOL,5/4/2017,5
Your Best American Girl,Mitski,Puberty 2,5/1/2017,5
Told Ya So,adult mom,Momentary Lapse of Happily,4/25/2017,8
Survival,adult mom,Momentary Lapse of Happily,4/25/2017,5
2012,adult mom,Momentary Lapse of Happily,4/20/2017,6
Photos from When We Were Young,Nana Grizol,Ursa Minor,4/20/2017,28
Forever and Then Some,Lillie Mae,Forever and Then Some,4/17/2017,6
I Want To Be Well,Sufjan Stevens,The Age of Adz,4/16/2017,5
Townie,Mitski,Bury Me at Makeout Creek,4/7/2017,14
I Think You're Alright,Jay Som,I Think You're Alright,4/6/2017,13
Fill In The Blank,Car Seat Headrest,Teens Of Denial,3/23/2017,11
Opening,Sleeping at Last,Many Beautiful Things (Original Motion Picture Soundtrack),2/23/2017,41
Death with Dignity,Sufjan Stevens,Carrie & Lowell,7/8/2016,5
The Song They Play Every Night,Little Green Cars,Ephemera,7/2/2016,7
The Start of Something,Voxtrot,Raised By Wolves EP,6/26/2016,8
In Ohio on Some Steps,Limbeck,"Hi, Everything's Great",6/26/2016,6
Julia,Limbeck,"Hi, Everything's Great",6/10/2016,7
Sex,Lauren Aquilina,,6/1/2016,5
"Sugar, We're Goin Down",Fall Out Boy,From Under the Cork Tree,5/27/2016,6
